step,timestamp,action,price,size,commission,profit
19,2025-04-19 00:19:00,buy,97.01766708411044,24.748894424748016,2.40108,
25,,close,96.49977667375214,24.748894424748016,2.3882627849104527,-15.205477874457571
25,2025-04-19 00:25:00,sell,96.49977667375214,0.0,0.0,
26,,close,95.45516304823093,0.0,0.0,0.0
26,2025-04-19 00:26:00,buy,95.45516304823093,35.04307482778019,3.3450424213971153,
50,,close,90.02985703166982,35.04307482778019,3.154923016695158,-193.27432771865216
50,2025-04-19 00:50:00,sell,90.02985703166982,0.0,0.0,
52,,close,89.08845619885714,0.0,0.0,0.0
52,2025-04-19 00:52:00,buy,89.08845619885714,31.39575621539072,2.796999452424833,
